"DP02_0015E","DP02_0016E","DP02_0066PE","DP02_0067PE","DP02_0071PE","DP02_0079PE","DP02_0088PE","DP02_0092PE","DP02_0101PE","DP02_0112PE","DP03_0005PE","DP03_0007PE","DP03_0009PE","DP03_0021PE","DP03_0025E","DP03_0062E","DP03_0063E","DP03_0096PE","DP03_0097PE","DP03_0098PE","DP03_0099PE","DP03_0128PE","DP04_0046PE","DP04_0047PE","DP05_0017E","DP05_0032PE","DP05_0066PE","ZCTA5"
2.91,3.65,66.7,13.7,12.7,85.8,55.1,38.5,14.2,68.9,9.7,39.6,16,65.1,40.9,27912,41474,84.2,32.7,55.4,15.8,37.9,4.5,95.5,29.1,20.2,64.6,10458
3,3.68,61.1,10.9,11.7,89.2,56.5,32.5,11.7,69.4,5.6,48.2,10.7,70.2,43.4,23761,35964,85.4,29.4,60.7,14.6,40.1,8.7,91.3,29.1,12.5,70.6,10459
2.95,3.54,60.6,11.7,12.5,88.8,56.3,33.6,12.9,63.8,13.9,38.6,22.7,66.8,43.2,23209,35624,84.1,42,61.2,15.9,41.5,9.6,90.4,30.7,13.8,70.2,10460
2.64,3.38,79.9,25.5,13.5,84.5,65.7,27.9,7.9,55.6,7,37.2,11.1,43.5,39.2,51568,68790,88.8,62.8,37.3,11.2,16.3,29.7,70.3,37.2,47.2,44.6,10461
2.66,3.48,77.6,24.2,11.4,90.4,57.8,30.9,13.4,57,9.1,32.2,13.5,62.2,44.9,45760,57940,88.5,52.8,44.2,11.5,19.7,22.1,77.9,35.3,23.5,47.9,10462
2.53,3.27,80.8,37.9,11.9,88.7,62.9,32,10.4,54.5,6.5,36.9,10.2,55.4,42.8,56482,80384,89.8,59.4,40,10.2,17.7,30.8,69.2,37.9,44,48.5,10463
2.32,3.34,95.1,39.9,12.7,95.5,89.4,8.9,0,19.7,4.4,36.1,6.8,14.7,34.8,75208,90671,92.8,80.8,26.6,7.2,3.7,62.9,37.1,47.4,76.7,26,10464
2.83,3.49,82.4,24.9,11.6,93.3,78.3,15.5,5.5,40.5,5.4,39.1,8.8,31.8,39.6,73776,85312,91.8,69.7,33.7,8.2,13.5,56,44,40,62.6,36.4,10465
3.07,3.72,79.2,21.9,12.1,90.8,53.4,41.4,7.6,26.3,7.5,37.3,12,52.2,46.6,42478,56348,86.8,53.4,41.5,13.2,21.2,37.5,62.5,35.8,7.7,22.4,10466
2.83,3.57,73.2,19,15.5,88.7,54.2,39,13.5,57.2,10,38,16.1,62.2,43.7,35117,46518,85.8,44.8,52.4,14.2,29.7,11.3,88.7,33.4,19.4,49.2,10467
2.94,3.59,68.2,17.7,10.6,87.1,47.7,45.3,13.6,76.3,9.8,33.9,14.9,68.2,43.3,34784,44912,82.5,32.4,55.4,17.5,32.6,8.6,91.4,32.2,13.5,72.1,10468
3.18,3.76,79.5,24.5,11.7,90.9,56,37.8,7,37.2,9.4,36.8,14.8,47.1,44,57207,70069,89.4,61.3,39.3,10.6,13.5,48.1,51.9,38.1,19.7,26.9,10469
2.57,3.35,83.5,30.9,11.7,90.9,59.8,36.9,5.2,27.8,7.5,35.1,11.6,49.5,44.1,57706,70509,87.7,64.2,35.7,12.3,12.9,39.2,60.8,38.1,48.6,20,10470
2.19,3.14,92.6,55.4,11,88.4,75.6,21.3,5.6,33.4,5.9,40.3,9.8,40.9,42.8,80222,105625,93.4,77.4,27.7,6.6,9.3,50.3,49.7,43,71.8,23,10471
3.19,3.8,60.4,11,11.3,89.1,51.5,39.3,10.1,64,7.6,40.6,12.9,65.8,43,29308,41909,79.6,36.7,54.2,20.4,35.3,13.6,86.4,31.2,17.3,64.2,10472
2.86,3.47,74.8,16.7,16.2,93.5,65.4,23.4,11.7,52.3,6.7,45.8,12.4,52.1,44.8,36764,51802,90.8,52.2,51.7,9.2,28.7,28.6,71.4,36.5,31,59.8,10473
3.2,3.74,63.8,11.8,12.6,85.1,57.8,31.7,9.5,66.5,6.8,50.9,13.9,53.6,40,26585,36171,83.1,29.8,60.9,16.9,42.3,6.5,93.5,30.3,19.7,70.7,10474
2.32,3.3,85.4,25.3,17.2,92.9,67.5,24.7,7.3,34.4,6.5,42.3,11.3,55.7,52.1,44923,59288,93.3,68.2,39.3,6.7,9.5,39.3,60.7,46.1,16.4,31.3,10475
3.07,3.21,95.6,48.8,14.5,99.3,88.9,10.3,0,15.7,4.2,33.5,6.4,5.8,38.4,141563,168224,97.6,87.2,22.5,2.4,0.4,97.7,2.3,47.6,91.6,6.6,10501
2.96,3.43,94.3,68.3,9.2,94.6,71.9,27.1,5.6,33.8,3.5,32.8,5.2,18.7,32.5,157132,195177,94.2,87.3,22.6,5.8,1.6,85.4,14.6,45.5,70,13.2,10502
1.58,2.02,100,82.7,8.3,74.4,81,9.5,0,27.4,9.5,45.2,17.4,18.4,NA,NA,141105,100,91.7,26.8,0,8.3,100,0,60.4,81,9.5,10503
3.2,3.48,98.4,78,6.2,93.4,90.8,8.6,4.5,15.8,3.8,36.9,6,19.1,36.5,205912,329724,97.3,94.4,13.2,2.7,1.6,91.1,8.9,41.7,93.8,7,10504
3.25,4.18,100,56.3,13.7,97.5,84.3,7.5,9.2,19.6,1.5,31.3,2.2,11.5,42.9,143750,162688,94.7,80.9,26.3,5.3,0,64.8,35.2,36.9,85.9,7.4,10505
2.91,3.18,97.7,74.7,4,91.9,89.1,9.7,5.7,9.6,3.2,36.1,5,16.7,40.8,206207,302564,98.8,94.4,16.3,1.2,3.1,92.5,7.5,43.5,93.4,3.3,10506
2.83,3.49,77.8,34.5,4.8,88.2,75.6,22.2,9.5,32.2,5.6,49.7,11.2,19,33.8,64351,139167,79.2,55.9,30.7,20.8,8.3,50.8,49.2,36.1,65.6,28.4,10507
2.86,3.28,90.3,38.7,8.3,91.8,82.8,16,5.6,21.8,5.3,26.7,7.3,8.2,37,94226,117307,89.1,78.6,21.1,10.9,6.6,76.1,23.9,41.4,88.4,16,10509
2.8,3.28,95.9,71.9,8.5,93.6,85.8,13.5,3.1,17.9,2.5,38.3,4.1,24.7,38,146723,219180,97.6,91.5,18,2.4,1.9,82.7,17.3,44.1,77.6,9,10510
2.68,3.34,92.6,34.2,13.3,94,83.1,15.7,2.9,22.1,4.6,29.7,6.6,7.6,32.4,98370,112668,94.5,82.6,24.8,5.5,5.5,76.4,23.6,44.5,77.1,17.2,10511
2.69,3.22,92.6,36.1,11.9,93.8,86.8,12.2,3.8,17.4,3.8,34.3,5.8,7.7,39.6,90095,113216,92.9,81.5,24.6,7.1,4.4,81.9,18.1,43.8,88.8,13.9,10512
3.17,3.39,98.9,88.9,4.9,89.5,87.2,11.9,9.3,13.6,1.6,35.1,2.5,32.6,43.5,212528,312693,97,94.5,10.8,3,2.5,93.6,6.4,40.5,87.3,2.3,10514
2.61,3.28,96.9,49.2,11.8,91.7,90.8,7.3,5.8,10.4,2.1,30.8,3,18.5,44.4,92381,120667,94,82.4,24.9,6,3.9,70.8,29.2,44.3,94.2,6.5,10516
3.78,3.99,96.2,23.7,7.7,97,65.3,34.7,0,37,12,24.1,15.8,0,34.2,89250,111566,93.6,86.3,12.5,6.4,0,80.7,19.3,31.9,76,40.5,10517
2.93,3.36,97.3,77.7,8.9,100,93.1,5.7,0,4.3,11.8,30.1,16.9,21.8,40.1,187898,193774,94.7,90.4,19.9,5.3,6.4,92.2,7.8,49.8,94.7,0,10518
2.17,2.67,100,53.6,13.5,99,72.5,27.5,0,13.5,0,43.5,0,26.5,NA,NA,191300,100,99.5,18.8,0,0.5,100,0,49.2,100,0,10519
2.48,3.15,91.7,58.6,8,89.4,81.4,17.2,8.9,19.3,4.4,33.1,6.6,21.3,39.6,101932,138738,90.3,79.1,25.1,9.7,3.4,60.4,39.6,44.6,80.9,11.8,10520
2.7,3.22,94.9,56.9,7.3,84.5,79.4,18.4,8.3,21.8,4.3,33.5,6.4,22.5,31.3,116671,156335,93.1,81.7,20.7,6.9,4.4,60.6,39.4,41.8,79.1,10.3,10522
3.16,3.66,84,40,6.8,87.9,60.3,37.1,11.1,41.5,5.2,26.7,7.1,13.9,26,87353,106451,84.7,70.4,22.5,15.3,9.3,56.3,43.7,36,39.9,30.8,10523
2.71,2.99,95.7,51.4,11.4,90.9,88.4,10.6,4.9,13.2,4.9,34.8,7.5,16.4,40.1,119583,159108,95.3,82.5,27.1,4.7,8,86.5,13.5,47.8,86.3,7.2,10524
2.53,3.24,98.5,79.9,4.7,87.4,87.1,11.6,0,11.5,3,37.7,4.8,14.4,38.3,122250,179595,99.5,90.6,18.9,0.5,3.2,88.6,11.4,42.6,94.6,0.2,10526
3.05,3.18,99,65.1,8.3,93.7,95.3,3.8,0,6.2,6,37.1,9.6,14.9,38.5,152212,164764,98.4,91.8,18.9,1.6,3.4,100,0,44.6,96.7,1.5,10527
2.78,3.31,91.5,52.1,8.7,88.5,71.3,26.6,31.9,35.2,3.6,35.2,5.6,25.3,32.7,105570,163962,94.5,83.6,21.9,5.5,6.1,58,42,40.9,78.8,14.2,10528
