"DP02_0015E","DP02_0016E","DP02_0066PE","DP02_0067PE","DP02_0071PE","DP02_0079PE","DP02_0088PE","DP02_0092PE","DP02_0101PE","DP02_0112PE","DP03_0005PE","DP03_0007PE","DP03_0009PE","DP03_0021PE","DP03_0025E","DP03_0062E","DP03_0063E","DP03_0096PE","DP03_0097PE","DP03_0098PE","DP03_0099PE","DP03_0128PE","DP04_0046PE","DP04_0047PE","DP05_0017E","DP05_0032PE","DP05_0066PE","ZCTA5"
2.48,2.97,95.1,35.7,5.9,88.5,95.5,0.8,0,6.3,3.6,37,5.6,0,24,59861,65909,94,81.1,26.5,6,13.2,88,12,45.2,99.9,0.2,12817
2.16,2.73,82.7,10.5,20.1,95.4,96.8,3.2,0,6.1,4.4,50.7,9,0,36.9,43839,51523,89.3,69.6,43.7,10.7,13.7,81.8,18.2,55.6,97.4,6.1,12819
2.28,2.53,72,5.6,23.9,46.7,87.6,9,15.4,22.9,0.7,94.9,14.4,0,15.6,34000,43622,87.4,55.7,51.2,12.6,0,65.2,34.8,35.6,37.8,19.3,12821
2.68,3.1,89.8,18,17.6,89.9,97.4,2.5,0,3.2,3.4,39.3,5.6,0.4,24.4,52578,63590,93.9,71.9,38,6.1,16,76.5,23.5,40.4,95.7,2.8,12822
2.44,2.52,74.3,7.5,7.6,87,100,0,NA,0,0,53.6,0,0,NA,82639,63198,90.8,77.8,41.7,9.2,22.2,89.4,10.6,54.7,100,0,12823
2.43,2.85,96.7,41.3,14.9,95.8,92.7,5.7,0,6.1,4.1,38.4,6.7,0,32,61650,90349,91.6,80.9,29,8.4,2.4,85.4,14.6,55.7,99.4,0,12824
2.69,3.11,87.6,16.9,14.6,88.3,99.1,0.7,0,1.4,4.4,33.5,6.6,0,24.8,62917,67990,91.3,74.2,32,8.7,6.8,83.2,16.8,43.6,96.6,2,12827
2.48,2.92,90.7,19.9,16.9,88.3,98,0.9,0,2.4,5.6,36.1,8.7,0.9,21.7,51250,69048,93.2,73.3,36.4,6.8,11.3,76.2,23.8,44.2,97.8,1.4,12828
2.66,3.12,94.9,34,8.8,89.4,96.5,3,6.1,3.7,2.6,32.5,3.9,0.3,25.7,78505,88922,96.7,86.3,21.7,3.3,4.2,76.3,23.7,40.7,95,2.6,12831
2.43,2.93,84.1,18.3,14.1,86.3,96.9,2.9,12,3.2,8,38.7,13,0.2,26.2,43918,53400,89.1,65.3,41.5,10.9,17.9,66.2,33.8,45,96.7,2.1,12832
2.44,2.85,88.5,34.3,8.2,93,97.5,1.7,0,6.2,4.2,30.6,6.2,1,27.1,65898,78690,93.6,78.8,28.4,6.4,8.8,84.4,15.6,47.9,94,0.9,12833
2.46,2.83,92.3,28.8,10.9,90,96.6,2.7,0.6,2.8,4.2,34.2,6.4,0.5,26.5,56104,74462,91.3,75.3,33.5,8.7,5.3,75.8,24.2,44.2,97.4,1.5,12834
2.23,2.65,85.5,14.8,19.5,89.3,97.7,2.1,22.4,3,4.1,51.6,8.4,0.5,36.9,51148,56791,91.5,67.3,47.6,8.5,9.9,84.5,15.5,51.2,97.1,0.8,12835
2.34,2.62,89.8,27.7,11.4,95,95.3,4.1,0,7,7.8,38,12.5,1.3,28.1,61739,70516,84.6,65.1,44.9,15.4,8.9,90.8,9.2,55.4,97.7,0.3,12836
2.86,2.79,92.3,6.4,11.6,95.1,92.9,6.3,0,1.7,10.7,27.8,14.9,0.2,36,45446,65674,85,57.8,38.7,15,4.9,89.8,10.2,44.6,98.2,1,12837
2.15,2.44,88.6,19.8,2.9,88.7,98.4,0.9,0,3.3,10.1,21.5,12.9,0,27.3,56250,66582,89.3,81.2,21.1,10.7,7.7,82.3,17.7,49.3,99.5,0,12838
2.58,3.04,88,14.7,15.9,81.2,97.4,2.3,7.1,3.1,8.3,30.3,11.9,2.6,21.9,44350,56318,89.5,61.1,43.4,10.5,18.5,56.8,43.2,37.4,94.1,2.8,12839
1.61,1.97,100,57,14,100,91,9,0,6,0,72,0,0,13.8,27500,81187,94,61,58,6,0,85.5,14.5,68.2,100,0,12841
2.51,3.22,87.9,39,17.4,87.9,100,0,NA,1.4,0,52.3,0,0,19.5,37321,48430,88.9,65.1,49.6,11.1,13.7,73.8,26.2,48.8,92.1,0.3,12842
2.44,2.51,84.5,27.7,16.1,92.8,99.3,0.7,0,3.3,1.7,44.6,3.1,0,23.6,38393,53096,87.6,64.2,46.2,12.4,16.3,87.8,12.2,48.4,95.4,0,12843
1.9,2.8,97.9,53.9,13.7,95.4,95.4,4.6,33.3,3,4.8,37,7.7,0,23.4,60000,72499,96.6,91.6,38,3.4,15.4,88.5,11.5,53,92.8,2.3,12844
2.32,2.75,92.6,35.5,10.8,85.2,95,4.5,12.1,4.9,3.5,43.5,6.2,0.6,23,66710,88725,90.6,72.2,37.8,9.4,11,78.1,21.9,51.5,97.9,1,12845
2.64,3.15,85.8,16.5,21.7,85.4,98.7,0.8,0,1.5,3,43,5.3,0,34.8,53112,62732,88.1,71,35.8,11.9,9.5,81.5,18.5,44,99.3,2.2,12846
3.07,3.31,77.7,30.7,11.9,93.8,84.8,14.4,7.1,20.4,0.6,45,1,0,11.8,62917,80638,80.6,72.2,26.7,19.4,10.5,91.3,8.7,53.3,91.8,5.1,12847
3.35,3.42,92.2,4.6,2.9,90.9,100,0,NA,0,7.7,17.5,9.3,0,26.1,70263,79731,95.3,78.5,19.6,4.7,9.1,100,0,37.8,100,0,12849
2.75,3.18,92.2,39.2,8,85.8,96.1,3.6,3.5,3.4,4.3,31,6.4,0.4,26.9,74622,91358,95.5,85.9,21.6,4.5,8.5,87.4,12.6,41.1,96.4,1.5,12850
2.26,3.03,89.2,22.5,16.3,93.2,95.3,3.9,20,4.9,6.7,48.2,12.9,0,23,48036,54806,92.2,66.9,55.3,7.8,18.7,94.6,5.4,57.1,98.1,0.8,12851
2.13,2.68,86.4,19.4,16.1,92.8,96.2,3.4,13.3,4.5,3.7,53.7,8,0,17.8,46094,54603,92.8,71.1,56.6,7.2,10.2,92.7,7.3,61.3,99.6,0.9,12852
2.29,2.95,86.2,16,20,82.2,98.5,1.5,0,4,5.9,56.9,13.6,1.7,21.5,38906,44552,83.1,52.2,55.5,16.9,20.8,81,19,55.8,98.3,0,12853
2.11,2.63,86.3,7.5,25,96.4,99,1,0,3.2,5.5,46.7,10.3,0,30.5,44583,50220,90.3,75,42.9,9.7,9.2,84.9,15.1,52.8,99.5,0.5,12855
2.69,3.93,100,60.4,0,100,91.4,8.6,0,0,0,40,0,0,NA,NA,73923,100,100,15.7,0,8.6,100,0,53,100,0,12856
2.89,3.25,83.1,24.2,10.1,92.8,94.7,4.8,0,10.3,2,43.1,3.5,0,27.2,49397,63702,97.8,66.3,55,2.2,8,80.8,19.2,44.6,100,0,12857
2.05,2.06,82.1,43.6,35.9,100,100,0,NA,0,0,74.4,0,0,NA,NA,38579,100,76.9,76.9,0,25.6,100,0,71.7,100,0,12858
2.4,2.98,93,29.9,15.1,86.9,97.9,0.8,0,3,7.9,31.3,11.7,1.7,30.5,55776,68518,93.3,81.3,25,6.7,13.8,86.6,13.4,37.6,98.3,0.1,12859
3.31,3.48,88.3,9.5,13.6,97.4,97.4,2.6,19,2.3,1.2,46,2.2,0,17.2,38043,50755,78.3,56.3,36.5,21.7,51,70.1,29.9,34.5,99.1,0,12860
2.31,2.7,90.7,26.8,14.6,93.4,96.9,3.1,0,0.7,6.6,46.2,12.3,0,29.8,63125,84011,91.6,73,36.3,8.4,8.4,86,14,51,100,0.5,12861
NA,NA,100,100,0,100,100,0,NA,0,0,100,NA,NA,NA,NA,NA,100,0,100,0,0,100,0,NA,100,0,12862
2.62,2.84,93.5,28.7,8.9,93.8,100,0,NA,1.3,0,35.1,0,0,39.8,69125,81800,94.6,75.7,29.5,5.4,1.9,82.1,17.9,44.6,100,7.7,12863
1.68,NA,100,0,37.8,100,100,0,NA,0,0,78.4,0,0,NA,NA,NA,100,78.4,100,0,21.6,100,0,65.8,100,0,12864
2.36,2.8,91.5,25.7,11,88,95,4.4,6,4.2,7.4,35.2,11.4,0.2,28.5,57000,59329,89.7,65.8,36.7,10.3,15.9,82.3,17.7,46.7,95.3,3.6,12865
2.18,2.88,94.4,46.8,12.8,81.9,91.9,6.1,28.9,9,4.9,36.1,7.9,1.4,23,70515,92897,94.7,83.1,27.6,5.3,7.1,60.8,39.2,41.2,93.6,3.8,12866
2.07,2.68,93.4,26.8,17.3,92.4,93.3,6.7,10.7,5.2,0.3,53.3,0.6,0,17.7,55938,67369,88.9,66.7,48.3,11.1,6.8,76.4,23.6,50.9,93.9,3.9,12870
2.59,3.17,91.1,31.7,12.1,91.4,94.7,5.1,17.1,7,4.4,33.6,6.6,0.5,24.9,64653,85768,95.6,75.9,33.7,4.4,5.7,76.4,23.6,40.2,93,3.6,12871
2.73,2.73,100,29,0,100,85.4,14.6,0,14.6,0,39,0,0,NA,28750,22880,100,85.4,29.3,0,14.6,100,0,49.8,92.7,7.3,12872
2.18,2.62,95.4,43.2,11.8,97.2,98.4,1.6,45.5,2.5,2.9,38.2,4.7,1.8,29.2,48750,61433,88.5,73.1,36,11.5,9.8,96.5,3.5,50.6,100,0,12873
1.69,1.98,100,62.6,19.7,97.2,96.5,1.4,0,6.3,1.4,59.7,3.6,0,36.5,69583,91449,98.6,93,64.1,1.4,2.8,94,6,68.8,95.1,1.4,12874
2.4,3.03,87.2,11.4,18.7,95,98.8,0.8,0,2,6.2,46.5,11.5,1,38.5,50500,55376,84.4,64.5,40.8,15.6,15.2,87.3,12.7,52.1,95.9,1.7,12878
2.38,2.92,87.3,20.8,15.8,89.9,97.3,1.3,7.6,3.7,5.5,33,8.2,0,17.6,52936,66062,91.5,63.1,41.1,8.5,17.9,73.3,26.7,46.4,97.7,0.2,12883
2.33,2.94,80.5,12.6,22.9,96.6,99.3,0,NA,0,2.8,42.1,4.9,0,25.6,46250,53794,82.3,53.6,36.5,17.7,15,77,23,47.5,97.3,0,12884
2.5,3.16,85.9,22.2,16.2,93.6,95,3.8,13.6,3.7,5.5,36,8.7,0,23.2,53232,64032,91.3,62.3,49.1,8.7,15.9,76.6,23.4,45,98.8,2.1,12885
2.43,2.61,87.3,42,21.4,93,97,0,NA,3.4,0,28.4,0,0,16.8,NA,74375,100,85.1,18.4,0,12.9,83.8,16.3,45.6,97,0,12886
2.41,2.9,88.7,10.9,16.6,86.4,98.7,0.6,0,1.9,5.9,41.2,10,0.7,23,47440,54227,90.3,59.6,47.4,9.7,21.5,66.7,33.3,40.2,96.9,0.9,12887
2.22,2.74,86.3,27.5,14.3,75.9,93.4,5.6,21.7,7.4,3.7,42.5,6.5,1.1,15.5,43642,57867,92.4,70.7,37.9,7.6,20.3,54.4,45.6,35,91.2,2.9,12901
1.88,2.66,96.9,44.3,19.3,86.2,87.8,8.1,0,11.5,1.8,44.9,3.3,0,17.2,50583,59685,98.9,81.9,39.9,1.1,6.9,57.7,42.3,46.2,96.5,0.2,12903
2.71,3.09,80.4,7.5,15.6,79.7,97.8,1.2,0,3.7,2.9,54,6.4,0.8,26.5,56447,66437,94.8,73.5,34.5,5.2,13.9,87.4,12.6,37.7,83.8,5.9,12910
3.58,3.58,75.7,0,20.9,100,100,0,NA,0,0,27.9,0,0,NA,NA,NA,100,100,20.9,0,0,100,0,54.3,100,0,12911
2.58,3.23,87,19.9,18.2,82.8,98.3,1.7,29.7,1.9,5.5,43,9.7,0.4,25.2,50714,66314,86.9,71,34.4,13.1,7.5,71.6,28.4,41.8,97.5,0.4,12912
2.33,2.77,92.4,29.7,19.1,88.7,94.8,3.3,20.5,6.6,4.2,33.5,6.3,0,17.3,55761,69534,98.4,83.8,29.5,1.6,8.3,80.7,19.3,47.6,99.2,1.5,12913
2.94,3.38,89.1,15.1,11.2,92.7,86.1,2.5,0,1.7,6.3,41.9,10.8,0,21.7,50208,61352,74.2,53.2,31,25.8,18.7,78.3,21.7,31.8,61.2,1.2,12914
2.58,3.08,88.2,17.2,13.9,85.1,94.9,1.9,0,6,7,40.6,11.8,0,25.2,55865,76317,86.2,61.2,39.5,13.8,20.5,74.5,25.5,44.2,95.4,1.5,12916
2.18,2.63,90.4,11.6,9.1,94.8,92.9,4.3,0,8.3,3.6,35.5,5.5,0,24.5,55417,61848,90.9,73.4,32.6,9.1,13.9,85.6,14.4,46.9,96.7,0.8,12917
2.42,3.02,91.4,29.4,9.7,91.7,91.9,7.1,37.9,1.6,2.4,34.9,3.6,0,22.9,58906,68877,95.7,79.9,33.1,4.3,9.7,90.1,9.9,43.1,95.2,0.2,12918
2.43,2.91,80.5,14.9,16,90.6,96.8,2.8,0,2.9,9,44.5,16.3,1,23.7,42226,52079,94.2,68.3,44,5.8,17.8,78,22,41.9,95.9,0.3,12919
2.37,2.85,84.7,13.1,17.2,79.6,93.4,4.3,8.6,4.3,3.9,49.8,7.8,1,27.4,50150,57741,93.6,65.1,43,6.4,22.3,73.1,26.9,43.1,91.9,2.3,12920
2.52,2.81,92.4,19.3,9.6,92.2,96,2.9,21.7,4,5.1,39.1,8.4,0,27.4,63750,79943,94.1,79,33.3,5.9,5.8,82.9,17.1,45.6,97,1.6,12921
1.68,2.38,93.9,15.2,24.3,97.3,83.8,0,NA,0,11.8,35.3,18.2,0,NA,53125,48900,83.8,64.9,48.6,16.2,10.8,100,0,56.9,81.1,0,12922
2.62,3.03,78.3,11.8,21,96.9,96.7,2.2,0,4.9,3.7,43.4,6.6,4.6,29,40375,56059,94,64.1,47.4,6,17.9,79,21,42.3,98.4,0.2,12923
2.65,2.03,100,0,26.7,80,100,0,NA,0,16.7,22.2,21.4,0,19.3,39479,45514,87.4,83,22.2,12.6,15,41.2,58.8,33,100,0,12924
2.39,2.84,85.2,12.1,16.9,86.5,96.1,3.2,0,5.4,4.9,38.7,8,0.6,19.9,50500,61705,91.2,70.9,38.6,8.8,12.5,79.9,20.1,44.2,97.6,1.7,12926
2.11,2.46,95.5,27.9,22.8,83.6,97,3,0,7.6,6.5,74.4,25.5,0,32.6,43750,55916,93.5,59.5,69.4,6.5,14.7,90.9,9.1,61,100,0,12927
2.48,3.14,86.1,10.3,24.9,89.1,94.5,4.3,0,7.8,7.6,51.7,15.6,0,29.1,44669,54040,89.4,65.3,44.5,10.6,9.4,75.9,24.1,44.9,95.9,0,12928
2.24,2.86,70.3,4.5,21.3,55,90.5,6.7,2.7,13.1,0.9,89.2,8.2,0,23.2,45795,52379,96.9,63.6,43.2,3.1,17.2,65.1,34.9,38.3,48.6,18.6,12929
2.72,3.06,89.6,14,12.4,91,99.1,0.7,0,4.2,5.9,37.7,9.5,0,26.1,45357,59104,90.9,68.1,35,9.1,19,88,12,37.9,98.5,1.3,12930
2.28,2.86,89.5,27,12.6,84.3,96.8,2.3,0,2.2,6.1,39,10,1.8,16.6,46875,58373,95,71.2,44.7,5,14.8,78.7,21.3,51.4,96.1,0.7,12932
4,4,50,0,0,100,100,0,NA,0,0,0,0,0,NA,NA,NA,100,100,0,0,0,100,0,23.5,100,0,12933
2.67,3.1,71.7,10.6,21.4,91.4,97.9,2,13.6,6.3,2.4,52.4,4.9,2.7,29.4,38393,52931,90.2,61.1,47.7,9.8,28.8,75.1,24.9,37.1,97.4,0.7,12934
2.46,2.68,74.7,14.5,17.4,84.7,98.2,1.8,0,5.2,6.4,51.4,13.2,0,33.4,48514,76529,94.5,65.9,41.8,5.5,12.8,79.1,20.9,43.5,91.8,3.1,12935
2.64,3.21,91.5,42.1,14.9,91.3,92.3,5.9,0,0.4,5,40.3,8.3,4.4,25.8,60147,75785,85.6,58.6,50.6,14.4,12,85.4,14.6,45.6,97.8,0.9,12936
2.54,2.93,88.2,14,13.5,92.9,87.5,3.6,0,6.2,8.5,39.8,14.1,0.6,15.9,40719,53156,84.7,60.2,39.2,15.3,19.7,77.4,22.6,42,73.2,1.2,12937
2.03,2.78,98.8,30.3,11.4,79.5,93.2,6.8,100,4.7,1.6,21.5,2.1,0,20.3,54688,59490,95,88.1,12.3,5,7.8,80.6,19.4,37.6,100,0,12939
2.66,2.97,88.4,27.2,12.2,88.4,99.5,0.5,0,0.9,7.2,36.5,11.3,0.6,26.1,61250,69450,95.2,75.2,38,4.8,8.5,83.8,16.2,45,98,0.2,12941
2.24,2.64,94.1,41.6,7.5,86.3,93.9,4.1,0,4.5,4.8,44.4,8.6,0,20,47050,68793,94.4,74.1,49.1,5.6,12.5,80.3,19.7,51.6,98.5,0,12942
1.88,2.62,94.2,60.4,26.1,88.3,97.3,2.7,0,5.9,0,32.3,0,0,21.8,51591,51998,95.7,70.2,33,4.3,0,55,45,50.2,98.9,0,12943
2.45,2.96,85.9,19.5,17.5,89.3,96.5,2.9,18.7,5.7,4.9,39.3,8.1,0,24,47197,60776,92.4,67.3,40.1,7.6,14.7,74.5,25.5,46.1,94.8,2.6,12944
2.46,2.72,85.3,30.8,26.1,100,94.2,5.8,0,9.9,0,44.8,0,0,26.8,71250,88973,98.9,86.3,41.8,1.1,0,100,0,62.4,100,0,12945
2.08,2.86,92.4,40.7,12,82.5,93.3,5.1,31.6,10.4,5.5,30.9,8,2.8,15.8,55917,70618,91.9,74.9,32.6,8.1,10.4,56.3,43.7,42.9,91.8,5.5,12946
2.62,3.08,82.5,7.6,13.9,78.4,95.1,3.3,0,5.1,2.4,39.4,4,0,22.5,46667,55407,92.2,72.8,37.7,7.8,10.7,76.5,23.5,44.2,90.6,4.7,12950
2.54,2.25,73.9,17.1,21,57.5,93.6,5.9,0,2.9,18.5,53.6,39.9,0,35.4,42813,48969,88.7,37.5,66.1,11.3,38.8,60.8,39.2,37.5,58.7,0.5,12952
2.39,2.91,78.9,15.5,15.4,73.3,93,4.1,1.4,8.2,2.7,59.6,6.7,0.7,18.4,48684,60052,94.1,66.8,44.4,5.9,20.6,70.4,29.6,38.5,77,7.8,12953
2.81,3.27,88.2,18.1,13.9,92.9,96.2,3.2,0,3.2,1.6,55.3,3.6,1.3,33.7,64018,67577,93.6,76.5,30.3,6.4,16.2,94.6,5.4,44.4,90.4,0,12955
3.19,3.33,83.7,19.1,21.3,91.2,99.5,0.5,0,3.1,7,38.8,11.4,0,32.5,65125,73122,96.4,61.8,43.9,3.6,10.3,83.6,16.4,38.9,92.3,1.6,12956
2.25,2.5,85.2,11.5,13.7,90.3,96.7,2.8,0,4.1,6.8,40,11.5,0,27.2,34783,47775,90.4,55.5,53.3,9.6,24.6,71.1,28.9,41.8,94.6,2.6,12957
2.34,2.73,83.1,19.2,19.5,75.5,100,0,NA,0,2.6,46.3,4.9,0,32.8,40456,48851,95.3,58.4,52.5,4.7,21.6,71.2,28.8,38.3,99,1,12958
2.3,2.56,87.5,8.9,26.6,100,97.7,1.3,0,4.6,5.3,43.6,9.3,0,30.3,44286,62228,100,82.3,35.6,0,12.4,92.7,7.3,48.4,94.6,1.3,12959
3.02,3.21,96.5,10,11.1,92.5,99.7,0.3,0,0.3,3.8,44.1,6.8,0,26,75781,72991,97.7,72.8,39.8,2.3,4.9,75.7,24.3,37.8,98,0,12960
2.49,3.33,94.9,7.2,27.7,91.7,100,0,NA,0,2.2,59.2,5.4,0,NA,NA,52857,95.9,87.6,44.8,4.1,0,73.5,26.5,58.4,100,0,12961
2.39,2.86,91.7,25.9,14.5,93.5,95.4,3.5,0,4.7,4.5,38.3,7.3,0.1,21.9,68852,81459,97.9,81.1,31.3,2.1,9.4,79,21,42.6,96.9,1.3,12962
2.92,3.66,100,58.3,0,100,100,0,NA,0,0,15.5,0,0,23.4,NA,127806,87.1,87.1,9.3,12.9,0,52.1,47.9,35.4,100,0,12964
2.39,3.01,90.9,17.9,13.8,88.6,96.4,3.6,0,3.1,6.5,45.5,12,0,24.2,38542,44804,93,59.4,42.8,7,15.2,84.2,15.8,44.9,98.8,0,12965
2.56,2.92,88.1,12.6,17.1,84.6,97.2,2.1,0,1,4,38.9,6.5,1.7,22.8,42200,48479,92.5,65.8,46,7.5,28.2,82.1,17.9,37.3,99,0.7,12966
2.86,3.32,85.8,10.8,21.1,91.3,97.4,1.4,11.8,17.2,4.9,47.5,9.4,0,23.3,44145,47763,82,55.1,40.1,18,25.5,85.1,14.9,38.3,96.6,2.9,12967
2.28,2.75,87.7,18.4,6.2,94.9,97.4,2.1,0,2.3,3.2,52.6,6.8,0,28,40250,53083,92.6,66.5,48,7.4,20.2,91.9,8.1,45.6,100,0,12969
2.28,2.78,91.7,49,10.2,66,95.4,4.2,0,11.7,2.4,39.2,3.9,0,19.5,45000,56695,96.9,86.7,19.8,3.1,12.2,62.3,37.7,20.9,82.5,0.7,12970
2.57,2.93,90.9,31.4,13.8,95,92.1,5.5,24.4,4.9,2.3,38.1,3.6,0,21.5,66141,85191,93.9,82.9,28.7,6.1,7.4,83.9,16.1,43.8,95.4,1.7,12972
2.49,2.57,96.6,31.3,19.6,91.3,95.8,4.2,0,0,9.1,37.2,14.6,0,16.9,60000,63957,90.5,76.2,22.8,9.5,9.8,93.4,6.6,51.6,100,0,12973
2.28,2.83,84.9,19.3,20.4,83.5,97.5,1.2,13.3,6.1,7.8,41.4,13.4,1.4,30.9,40500,54887,89.4,62.7,38.7,10.6,14.9,70.6,29.4,45,96.6,2,12974
2.23,2.93,98.9,40.6,12.7,77.8,98.6,1.4,0,1.7,2.6,23.8,3.5,0,18.4,70509,78114,96.3,74.1,33,3.7,4.5,71.7,28.3,43.3,91.3,0,12975
1.88,2.51,100,47.1,18.4,97.2,100,0,NA,1.7,17.3,35.3,26.8,0,23.4,61250,75605,87.2,79.9,24,12.8,2.2,95.8,4.2,53,98.3,0,12976
2.08,2.08,80,1.5,48.1,53.8,74.9,22,7.7,32.7,0,95.4,0,0,NA,NA,NA,100,100,100,0,0,100,0,35.8,31.7,27.7,12977
2.88,3.19,89.4,38.6,0,67.4,100,0,NA,0,25.9,7,27.8,0,NA,NA,52141,88.5,40.3,48.3,11.5,53.1,34,66,22.5,100,0,12978
2.13,2.69,91.3,22.9,10.4,86.6,89.6,8,8.9,7.1,2.3,36.1,3.7,0,22.3,64417,74150,94.6,73.5,34.4,5.4,10.3,59.6,40.4,44.3,98.4,0.6,12979
2.24,2.78,86.4,15.2,22.5,83.2,95.8,2.4,0,2.3,6.7,45.3,12.3,1.7,32.9,40774,51895,89,68.1,35.9,11,21.4,80.2,19.8,47.5,98.5,0.8,12980
2.26,2.73,89.4,18.5,17.3,91.3,97.6,1.7,0,2,4,43.9,7.1,0,28.6,54886,64623,96.2,77.8,33.9,3.8,11.3,86.6,13.4,39.8,99.2,1.1,12981
2.14,2.88,92.9,32.5,15.7,83.5,97.6,2.2,11.8,2.9,4,38.2,6.5,0.9,16.1,50833,64184,91.5,70.7,37.7,8.5,14.2,55.6,44.4,47,96.2,0.7,12983
2.33,2.71,90.9,17.9,16.1,86,98.3,0,NA,2.3,0.2,30,0.3,0,22.3,39722,56994,98.2,82.9,32.6,1.8,19.9,88,12,38.2,92,0.4,12985
2.27,2.69,85.4,18.4,13.9,86.4,96.2,3.1,3.7,3.4,4.7,43,8.3,0.6,15.8,50958,61552,94,72.5,37,6,13.3,69.7,30.3,39.5,96.1,1,12986
1.66,2.54,72.6,21.5,24.7,84.3,98.5,1.5,0,0,2.2,38.4,3.5,0,19.6,33942,47394,83,71.8,40.9,17,17.8,87.7,12.3,56.3,95,0,12987
2.16,2.56,92.5,28.6,9.6,96.4,95.7,2,0,3,3.4,33.5,5.2,0.8,30.8,62656,67411,94.7,76.4,37.7,5.3,9,92.9,7.1,50.2,98.5,2,12989
2.34,2.76,84.1,13.5,13.6,92.2,95,3.6,21,4.5,3.6,37.6,5.8,0,23.5,50403,59648,92.4,68.8,38.9,7.6,20.7,77.4,22.6,40,98.5,0.1,12992
2.31,2.92,82.9,23.7,16.1,92.5,91.6,8.4,0,8.5,7.2,38.9,11.8,0.3,17.9,43704,61842,87.8,68.3,44.3,12.2,11.4,89.4,10.6,50.5,90.9,5.4,12993
2.13,2.63,88.8,14.2,23.5,94.9,96.8,2.7,7.7,4.1,2.6,46.2,4.8,0.6,21.6,44643,51995,91.4,70.9,46.5,8.6,11.2,77.5,22.5,53.5,97,1,12996
2.53,2.94,90.2,31.9,11,92.7,95.6,3.5,2.2,3,3.4,31.2,5,0.6,23,65850,71741,90.7,75.2,27,9.3,8.1,80.4,19.6,43,97.7,2.1,12997
2.12,2.31,94.7,0,17.1,100,100,0,NA,0,3.1,51.3,6.3,0,NA,27684,28165,91.3,37.4,63.8,8.7,19.7,58.9,41.1,34.6,96.5,0,12998
2.93,3.14,88,0,12.9,100,95.5,4.5,0,4.5,12.6,43.7,22.4,0,24.9,45750,51549,75,30.3,50,25,31.1,91.1,8.9,44.7,80.3,15.2,13020
2.3,3,89.6,24.7,13.8,85.7,96.8,2.7,9.8,5.9,4.9,37.5,7.9,1.6,19.1,47486,61475,92,71.5,37.1,8,13,60.7,39.3,42.4,91.4,1.7,13021
NA,NA,40.7,1.6,NA,54.1,82.8,9.9,4.3,26.3,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,33.1,25.1,13024
2.35,2.71,90,36.9,13.6,80.7,90.7,8.2,32.7,12,2.7,33.8,4,0.7,24.9,65750,73450,90.2,73.7,31.9,9.8,11,74.5,25.5,35.6,90.3,9.4,13026
2.39,2.92,94.9,39.7,9.9,90.1,96.2,3.1,5.7,4,3.2,34.7,4.9,0.6,23.1,69368,81478,95.9,83.5,29.6,4.1,6.7,73.8,26.2,45.2,94.5,2.4,13027
2.56,2.86,84.4,11.8,9.2,88.6,97,0,NA,7.6,8.8,40.1,14.7,0,39.5,40000,72031,83.9,55.3,43.6,16.1,9.6,71,29,47.1,91.4,7.9,13028
2.57,2.99,95.6,25.9,7.7,87.1,95.6,2.6,4.1,4.3,6.1,31,8.8,1.9,22.6,68729,80485,95.8,77.3,31.5,4.2,12.2,76.1,23.9,37.9,95.7,0.9,13029
2.48,2.89,91.3,20,12.3,92.8,98.6,0.9,18.4,1.4,3.7,28.8,5.2,0,24.7,60871,69627,93.9,72.3,35.1,6.1,12.2,80.1,19.9,44.5,99.3,3.1,13030
2.54,3.06,95,41.1,10,90.2,93.3,6.2,1.6,7.8,3.3,32.3,4.9,0.5,21.1,70259,84624,94.3,84.1,25.9,5.7,6.5,80.6,19.4,42.8,95.5,2.3,13031
2.42,3.01,89.8,21.2,13.5,92.3,98.2,1.2,0,3.1,3,36.8,4.8,0.1,24.5,51581,62059,94.6,74.3,34.8,5.4,13,73.7,26.3,44.4,95.3,0.7,13032
2.76,3.22,91.4,24.1,13.6,95.2,97.7,2,0,2.4,3.6,31.9,5.2,0,30,60326,70284,91.3,72.6,30.1,8.7,10,86.1,13.9,40,96.7,1.5,13033
2.45,2.89,91,22.4,12.4,92.5,99,0.6,8.3,1.1,3.9,38.6,6.4,0,26.4,57000,76330,91.8,72.7,38.5,8.2,5,87.3,12.7,45.5,98.1,0.2,13034
2.47,3.07,96.2,46.8,8.8,88.8,95.7,2.9,18.5,4.4,2.2,44.4,4,0.4,24.6,70168,97811,95.8,84.4,26.8,4.2,6.6,78,22,46.1,95.8,2.2,13035
2.67,3.12,87.1,12.5,16.6,91,98.5,0.8,0,2.7,5.6,39.3,9.3,1.5,26.2,51722,63214,95,64.4,43.1,5,10.1,76.5,23.5,43.3,98.1,0.4,13036
2.67,3.18,91.3,29.2,11.6,95.2,97.4,2.2,0,1.9,1.8,34.4,2.8,0.1,25.1,64508,75657,95.4,76.3,31.4,4.6,8.3,80.2,19.8,41.7,98.2,1.6,13037
2.71,3.19,95.4,35.1,8.3,93.1,95.9,3.3,5.3,4.2,4.4,29.4,6.2,0,19,79474,90093,96.7,85.7,21.5,3.3,4.8,84.9,15.1,39,95.2,1.8,13039
