"Median_Household_Income","Mean_Household_Income","ZCTA5"
64161,72483,"12205"
28239,43805,"12206"
10675,22454,"12207"
56018,71057,"12208"
52788,63914,"12209"
43535,63806,"12210"
90734,122509,"12211"
NA,NA,"12222"
66437,76793,"12302"
62402,82336,"12303"
48427,59610,"12304"
25552,37461,"12305"
59816,69903,"12306"
17772,28693,"12307"
43908,56402,"12308"
92904,112816,"12309"
46071,60220,"12401"
71615,134097,"12404"
44485,50125,"12405"
41111,70540,"12406"
70833,77386,"12407"
65625,99169,"12409"
60469,68660,"12410"
81518,68414,"12411"
50568,86449,"12412"
33468,48154,"12413"
46925,62979,"12414"
25050,28107,"12416"
50549,57654,"12417"
63393,67328,"12418"
55893,55726,"12419"
86466,87346,"12420"
45313,54735,"12421"
67569,84231,"12422"
40750,62718,"12423"
38750,55658,"12424"
89044,82492,"12427"
45565,59789,"12428"
NA,91306,"12429"
50530,56554,"12430"
39907,66446,"12431"
58913,65090,"12432"
134261,138291,"12433"
28083,39537,"12434"
34205,48104,"12435"
NA,71579,"12436"
101250,90891,"12438"
37188,48320,"12439"
51375,68737,"12440"
116500,109757,"12441"
28472,56805,"12442"
76897,97598,"12443"
38229,53131,"12444"
57373,75656,"12446"
61648,119271,"12448"
37951,56719,"12449"
NA,NA,"12450"
60974,68460,"12451"
41538,40350,"12452"
34434,64398,"12453"
73750,64234,"12454"
40439,49727,"12455"
47656,57216,"12456"
NA,65222,"12457"
43393,58712,"12458"
40195,60026,"12459"
52014,62367,"12460"
63445,87361,"12461"
51197,64851,"12463"
47778,64009,"12464"
71875,80618,"12465"
67616,80594,"12466"
41776,53753,"12468"
44643,58101,"12469"
51731,54173,"12470"
46250,46540,"12471"
56250,64513,"12472"
73622,101493,"12473"
41538,53013,"12474"
NA,54160,"12475"
58843,77607,"12477"
41406,62197,"12480"
54467,68360,"12481"
34222,45122,"12482"
35865,48983,"12483"
79327,83435,"12484"
51382,62062,"12485"
74922,90791,"12486"
71736,85527,"12487"
67868,63132,"12489"
NA,NA,"12490"
57917,71684,"12491"
50139,57137,"12492"
85547,79749,"12493"
59844,69368,"12494"
82857,96180,"12495"
50435,69683,"12496"
67229,111598,"12498"
64485,93040,"12501"
72250,81605,"12502"
63472,94641,"12503"
68125,65454,"12504"
66538,112085,"12507"
68965,81959,"12508"
NA,175147,"12512"
67917,71618,"12513"
89306,117905,"12514"
55536,74146,"12515"
52847,67666,"12516"
60469,77647,"12517"
76143,96843,"12518"
89417,116733,"12520"
68958,86387,"12521"
53156,66621,"12522"
64643,76434,"12523"
75789,88860,"12524"
74038,97491,"12525"
64853,85112,"12526"
NA,89946,"12527"
62583,79512,"12528"
62143,97278,"12529"
16821,19548,"12530"
81686,119770,"12531"
101781,117491,"12533"
45263,62884,"12534"
72500,82174,"12538"
102270,117222,"12540"
64874,77056,"12542"
59310,75040,"12543"
67596,94285,"12545"
61389,76122,"12546"
69537,86128,"12547"
56625,62617,"12548"
83352,102677,"12549"
56222,73081,"12550"
70279,88916,"12553"
66911,87150,"12561"
83811,90936,"12563"
81429,104812,"12564"
41875,60569,"12565"
79424,91844,"12566"
64405,93673,"12567"
73324,90542,"12569"
100161,122257,"12570"
69217,93966,"12571"
69901,108746,"12572"
85750,92708,"12574"
120833,125675,"12575"
77750,103719,"12577"
79798,99928,"12578"
72589,99685,"12580"
74688,113376,"12581"
94600,106865,"12582"
58938,85145,"12583"
115357,127880,"12585"
68810,83164,"12586"
81609,92062,"12589"
80188,93514,"12590"
60543,73013,"12592"
66445,78313,"12594"
40508,59383,"12601"
75569,91495,"12603"
NA,NA,"12604"
32403,49859,"12701"
51607,82949,"12719"
78690,82941,"12720"
58849,71218,"12721"
NA,62751,"12722"
54375,62182,"12723"
60848,59315,"12724"
43750,69646,"12725"
59583,69811,"12726"
51542,81062,"12729"
40568,63134,"12732"
44286,46080,"12733"
62632,67893,"12734"
35938,47197,"12736"
65500,72323,"12737"
75600,125103,"12738"
59198,71257,"12740"
30000,47182,"12741"
40781,62741,"12742"
51354,68390,"12743"
64375,81961,"12745"
83221,89112,"12746"
62576,69534,"12747"
59107,83882,"12748"
46313,63049,"12749"
74792,102427,"12750"
49531,53435,"12751"
50781,60429,"12752"
39598,58911,"12754"
53147,71819,"12758"
25700,36156,"12759"
50962,63769,"12760"
39762,56093,"12762"
58144,62367,"12763"
51053,73075,"12764"
68177,83069,"12765"
70227,81873,"12766"
111875,115756,"12767"
41983,65381,"12768"
NA,61854,"12769"
49688,63382,"12770"
46446,64175,"12771"
89167,99945,"12775"
57422,71257,"12776"
73750,111116,"12777"
NA,85548,"12778"
37992,46927,"12779"
36490,45075,"12780"
58036,51038,"12781"
59394,69608,"12783"
NA,NA,"12784"
48147,67128,"12785"
44201,39475,"12786"
58365,81195,"12787"
40139,51559,"12788"
50114,64408,"12789"
48951,59990,"12790"
58380,71834,"12791"
36563,46018,"12792"
45395,57826,"12801"
59438,67357,"12803"
63120,81847,"12804"
76458,88035,"12808"
58125,66003,"12809"
57500,60551,"12810"
NA,NA,"12811"
49583,55758,"12812"
